symbol,issuer_name,class,cusip,value_000,percent,shares,principal,option_type
NIO,NIO Inc,DEPOSITARY RECEIPT,62914V106,33114,0.4,4345799.0,,
TSM,Taiwan Semiconductor Manufacturing Co Ltd,DEPOSITARY RECEIPT,874039100,24714,0.3,88490.0,,
ARM,ARM Holdings PLC,DEPOSITARY RECEIPT,042068205,18917,0.2,133700.0,,
FMX,Fomento Economico Mexicano SAB de CV,DEPOSITARY RECEIPT,344419106,16721,0.2,169533.0,,
VOD,Vodafone Group PLC,DEPOSITARY RECEIPT,92857W308,15607,0.2,1345455.0,,
VALE,Vale SA,DEPOSITARY RECEIPT,91912E105,14731,0.2,1356500.0,,
LEGN,Legend Biotech Corp,DEPOSITARY RECEIPT,52490G102,13148,0.2,403211.0,,
SE,Sea Ltd,DEPOSITARY RECEIPT,81141R100,12916,0.2,72268.0,,
TS,Tenaris SA,DEPOSITARY RECEIPT,88031M109,11444,0.1,319947.0,,
EQNR,Equinor ASA,DEPOSITARY RECEIPT,29446M102,10249,0.1,420400.0,,
KT,KT Corp,DEPOSITARY RECEIPT,48268K101,9800,0.1,502615.0,,
0FUT.IL,Futu Holdings Ltd,DEPOSITARY RECEIPT,36118L106,9306,0.1,53513.0,,
0A2P.IL,Melco Resorts & Entertainment Ltd,DEPOSITARY RECEIPT,585464100,8480,0.1,924800.0,,
KSPI.IL,Kaspi.KZ JSC,DEPOSITARY RECEIPT,48581R205,8375,0.1,102542.0,,
EDU,New Oriental Education & Technology Group Inc,DEPOSITARY RECEIPT,647581206,7011,0.1,132122.0,,
BNTX,BioNTech SE,DEPOSITARY RECEIPT,09075V102,6993,0.1,70909.0,,
LX,LexinFintech Holdings Ltd,DEPOSITARY RECEIPT,528877103,5990,0.1,1123879.0,,
217A.SG,Vnet Group Inc,DEPOSITARY RECEIPT,90138A103,5953,0.1,576300.0,,
BZ,Kanzhun Ltd,DEPOSITARY RECEIPT,48553T106,5837,0.1,249912.0,,
ERIC,Telefonaktiebolaget LM Ericsson,DEPOSITARY RECEIPT,294821608,5734,0.1,693444.0,,
CIB,Grupo Cibest SA,DEPOSITARY RECEIPT,40090E106,5615,0.1,108112.0,,
ARGX,Argenx SE,DEPOSITARY RECEIPT,04016X101,5457,0.1,7400.0,,
JMIA,Jumia Technologies AG,DEPOSITARY RECEIPT,48138M105,5019,0.1,432300.0,,
SSW,Sibanye Stillwater Ltd,DEPOSITARY RECEIPT,82575P107,5018,0.1,446509.0,,
TIGR,Up Fintech Holding Ltd,DEPOSITARY RECEIPT,91531W106,4898,0.1,459055.0,,
